year,make,model,trim,color,transmission,vin,description,from,to,fate,picture_url,note,link
1991,Chevrolet,Beretta,,red,auto,,red auto 3.1L V6,~1993-09,1993-12,crash,/nsx/images/PastRides-Chevy-Beretta-GTZ.jpg,"That's not my car pictured, but mine looked exactly like it.",
1989,Pontiac,Grand Prix,2-door,maroon,auto,,,1994-01,1996-01,parents,,,
1993,Ford,Probe,GT,red,5-speed,,,,,,/nsx/images/PastRides-Ford-Probe-GT.jpg,,
1992,Acura,NSX,,Formula Red,5-speed,,,1999-12,~2000-08,Richie,/nsx/images/PastRides-Acura-NSX-1992.jpg,,
1989,Honda,Civic,DX sedan,blue,5-speed,,,2000-10,2006-12-26,,/nsx/images/PastRides-Honda-Civic.jpg,,
1991,Acura,NSX,,Sebring Silver,5-speed,,,2001-12,2006-05,,/nsx/images/PastRides-Acura-NSX-1991.jpg,,/garage/silver-nsx
1991,Infiniti,Q45,,white,auto,,,2005-02,2006-01,,/nsx/images/PastRides-Infiniti-Q45.jpg,,
1993,Lexus,SC400,,white,auto,,,2006-06,2008-02,,/nsx/images/PastRides-Lexus-SC-400-1993.jpg,,/garage/sc400
1999,Acura,NSX,Zanardi Edition,New Formula Red,6-speed,,#04,2006-10,present,,/nsx/images/PastRides-Acura-NSX-1999.jpg,,/garage/zanardi04
1996,Mazda,Miata,,black,5-speed,,,2007-04,???,,/nsx/images/PastRides-Mazda-Miata-1996.jpg,,/garage/miata
1993,Mazda,RX-7,R1,red,5-speed,,EV conversion project,2007-05,2012-07,,http://2.bp.blogspot.com/_FOVPNUFNeQQ/SGmerYdtJsI/AAAAAAAAAG8/EDP-ixrVSP0/s400/304368758_43ytJ-M.jpg,,/ev
2005,Buell,XB12Scg,,black/translucent amber,,,,2009-05,2010-08,,https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/156872_477244602340_7034528_n.jpg?oh=7e97730b8b40bc0fedaed9b70aec35f9&amp;oe=543C10EB&amp;__gda__=1413003377_fe5468692a3b66de7607214ac4ba94d5,,/garage/buell
2001,Honda,Insight,,red,5-speed,,,2009-11,2010-06,,https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xaf1/t1.0-9/156331_466558167340_7502176_n.jpg,,/garage/insight
2008,Honda,CBR1000RR,,candy dark red/silver,,,,2010-05,2016-09,stolen,http://media.tumblr.com/tumblr_l8csn4eFSc1qz7ajz.jpg,,http://mu.ojas.net/fireblade
1999,Isuzu,VehiCROSS,,Astral Silver,auto,,,2010-11,2011-06,,https://scontent-a.xx.fbcdn.net/hphotos-xfp1/t31.0-8/56968_466556997340_4715041_o.jpg,,/garage/vx
2004,Porsche,Cayenne,S,Meteor Gray Metallic,auto,,,2011-03,2013-06,,http://distilleryimage11.s3.amazonaws.com/f705ec58c63211e1b10e123138105d6b_7.jpg,,
2013,Abarth,500,,Bianco (white),5-speed,,,2013-03,???,,http://distilleryimage3.instagram.com/6f38eaa8974e11e2a3e422000a1fbe39_7.jpg,,
2006,Toyota,Tacoma,Prerunner,white,auto,,,2014-07,present,,https://instagram.fphx1-1.fna.fbcdn.net/vp/c3c505bf31e5eb481028ace98cd04a3d/5BCB8A4E/t51.2885-15/e35/20904849_1801176423240836_2720866502185058304_n.jpg,,
1976,Honda,CM400,,black,,,,2014-12,present,,,,
2012,Lexus,LFA,,Pearl Gray,auto,,,2015-06,present,,https://instagram.fphx1-1.fna.fbcdn.net/vp/d507cb2fa4d07b2cde8a3f6fee8be63c/5BDEFB09/t51.2885-15/e35/16110451_391051594587401_7456503700522008576_n.jpg,,
1991,Honda,Prelude,2.1 Si,black,5-speed,,,2015-11,2017-10,,https://instagram.fphx1-1.fna.fbcdn.net/vp/21534e131f27c35b7bb678e12decb579/5BEBB944/t51.2885-15/e35/12256594_193185687684971_1632064416_n.jpg,,
2008,Honda,CBR1000RR,,yellow/black,,,,2016-10,2018-01,,https://instagram.fphx1-1.fna.fbcdn.net/vp/288ff3d92d1dca0ce6964a3850ccace0/5BE20B00/t51.2885-15/e35/14716395_210369729387966_5737970500936663040_n.jpg,,
1994,Ford,Probe,GT,white,5-speed,,,2019-02,present,,,,
